status,severity,fileName,dbId,dbPath,diskPath,dbSize,diskSize,dbModifiedAt,diskModifiedAt,supplierOffers,rawProducts,note
db-file-missing-no-match,low,19、华浦灯串产品销售价格表20250609085715.pdf,e4913d1c-5326-4b5d-8667-d3fc3be9f62a,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202510价格/19、华浦灯串产品销售价格表20250609085715.pdf,,2419053,,2025-10-14T01:43:38.100Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,2-220V高压有导线灯带价格表.xlsx,83ba3eac-5e0f-4ab2-816e-305fe2034fe2,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202504 报价 更新  注意全部不含税 /2-220V高压有导线灯带价格表.xlsx,,13696,,2025-07-29T10:12:31.540Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,2、220V高压有导线灯带价格表06.xlsx,41d17516-53a8-47b8-b212-5435053d6c15,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202510价格/2、220V高压有导线灯带价格表06.xlsx,,13606,,2025-10-14T01:42:11.270Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,2.220V高压有导线灯带价格表.xlsx,697b22fc-263e-4117-bd1e-30bcb2e7f669,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202406/2.220V高压有导线灯带价格表.xlsx,,12712,,2024-09-02T04:03:21.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,20220529Welfull Inspection report-虹宇照明-LED Light belt-STELLAR-#W1122X007.pdf,2f0c41ad-622c-4cbd-b9ff-04464d88afcb,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/玲姐虹宇下单合同参考/20220529Welfull Inspection report-虹宇照明-LED Light belt-STELLAR-#W1122X007.pdf,,22835321,,2022-08-02T08:40:25.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,20220530Welfull Inspection report - LED Strips(1).pdf,7edf0230-9511-4bcb-a213-fcab99153ee7,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/玲姐虹宇下单合同参考/发客户 抹掉所有的客户logo/20220530Welfull Inspection report - LED Strips(1).pdf,,16263236,,2022-11-08T09:06:23.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,20220530Welfull Inspection report-虹宇照明-LED Light .pdf,178d974f-8a7a-41e8-9c17-41b43b5e9e03,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/玲姐虹宇下单合同参考/20220530Welfull Inspection report-虹宇照明-LED Light .pdf,,39378764,,2022-11-08T07:19:34.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,2023 HENSAN LIGHTING CATALOG(1)外贸公司画册.pdf,0e2bd103-e85a-4ed1-a098-fe270b134895,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/画册 各家/2023 HENSAN LIGHTING CATALOG(1)外贸公司画册.pdf,,2783129,,2024-08-26T10:57:16.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,2023年4月份展会展会灯带报价.xls,92f3f188-1856-4046-a952-2a4d12393123,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇202304更新/2023年4月份展会展会灯带报价.xls,,23552,,2023-11-01T12:43:30.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,2024 CL LIGHTING - Smart LED light catalog.pdf,5bb05d56-19a9-44e3-b0e1-408a2cedcc41,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/彩澜/2024 CL LIGHTING - Smart LED light catalog.pdf,,6557172,,2024-09-04T15:43:04.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
